barcode_index_matrix,index,P1,P2,P3,P4,P5,P6,P7
Anc113BC_56,56,0,1,1,1,0,0,0
Anc113BC_57,57,0,1,1,1,0,0,1
Anc113BC_58,58,0,1,1,1,0,1,0
Anc113BC_59,59,0,1,1,1,0,1,1
Anc113BC_60,60,0,1,1,1,1,0,0
Anc113BC_61,61,0,1,1,1,1,0,1
Anc113BC_62,62,0,1,1,1,1,1,0
Anc113BC_63,63,0,1,1,1,1,1,1
Anc113BC_64,64,1,0,0,0,0,0,0
Anc113BC_65,65,1,0,0,0,0,0,1
Anc113BC_66,66,1,0,0,0,0,1,0
Anc113BC_67,67,1,0,0,0,0,1,1
Anc113BC_68,68,1,0,0,0,1,0,0
Anc113BC_69,69,1,0,0,0,1,0,1
Anc113BC_70,70,1,0,0,0,1,1,0
Anc113BC_71,71,1,0,0,0,1,1,1
Anc113BC_72,72,1,0,0,1,0,0,0
Anc113BC_73,73,1,0,0,1,0,0,1
Anc113BC_74,74,1,0,0,1,0,1,0
Anc113BC_75,75,1,0,0,1,0,1,1
Anc113BC_76,76,1,0,0,1,1,0,0
Anc113BC_77,77,1,0,0,1,1,0,1
Anc113BC_78,78,1,0,0,1,1,1,0
Anc113BC_79,79,1,0,0,1,1,1,1
Anc113BC_80,80,1,0,1,0,0,0,0
Anc113BC_81,81,1,0,1,0,0,0,1
Anc113BC_82,82,1,0,1,0,0,1,0
Anc113BC_83,83,1,0,1,0,0,1,1
Anc113BC_84,84,1,0,1,0,1,0,0
Anc113BC_85,85,1,0,1,0,1,0,1
Anc113BC_86,86,1,0,1,0,1,1,0
Anc113BC_87,87,1,0,1,0,1,1,1
Anc113BC_88,88,1,0,1,1,0,0,0
Anc113BC_89,89,1,0,1,1,0,0,1
Anc113BC_90,90,1,0,1,1,0,1,0
Anc113BC_91,91,1,0,1,1,0,1,1
Anc113BC_92,92,1,0,1,1,1,0,0
Anc113BC_93,93,1,0,1,1,1,0,1
Anc113BC_94,94,1,0,1,1,1,1,0
Anc113BC_95,95,1,0,1,1,1,1,1
Anc113BC_96,96,1,1,0,0,0,0,0
Anc113BC_97,97,1,1,0,0,0,0,1
Anc113BC_98,98,1,1,0,0,0,1,0
Anc113BC_99,99,1,1,0,0,0,1,1
Anc113BC_100,100,1,1,0,0,1,0,0
Anc113BC_101,101,1,1,0,0,1,0,1
Anc113BC_102,102,1,1,0,0,1,1,0
Anc113BC_103,103,1,1,0,0,1,1,1
Anc113BC_104,104,1,1,0,1,0,0,0
Anc113BC_105,105,1,1,0,1,0,0,1
Anc113BC_106,106,1,1,0,1,0,1,0
Anc113BC_107,107,1,1,0,1,0,1,1
Anc113BC_108,108,1,1,0,1,1,0,0
Anc113BC_109,109,1,1,0,1,1,0,1
Anc113BC_110,110,1,1,0,1,1,1,0
Anc113BC_111,111,1,1,0,1,1,1,1
Anc113BC_112,112,1,1,1,0,0,0,0
Anc113BC_113,113,1,1,1,0,0,0,1
Anc113BC_114,114,1,1,1,0,0,1,0
Anc113BC_115,115,1,1,1,0,0,1,1
Anc113BC_116,116,1,1,1,0,1,0,0
Anc113BC_117,117,1,1,1,0,1,0,1
Anc113BC_118,118,1,1,1,0,1,1,0
Anc113BC_119,119,1,1,1,0,1,1,1
Anc113BC_120,120,1,1,1,1,0,0,0
Anc113BC_121,121,1,1,1,1,0,0,1
Anc113BC_122,122,1,1,1,1,0,1,0
Anc113BC_123,123,1,1,1,1,0,1,1
Anc113BC_124,124,1,1,1,1,1,0,0
Anc113BC_125,125,1,1,1,1,1,0,1
Anc113BC_126,126,1,1,1,1,1,1,0
Anc113BC_127,127,1,1,1,1,1,1,1
