barcode_index_matrix,index,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
Anc80BC_60,60,0,0,0,0,0,1,1,1,1,0,0
Anc80BC_61,61,0,0,0,0,0,1,1,1,1,0,1
Anc80BC_62,62,0,0,0,0,0,1,1,1,1,1,0
Anc80BC_63,63,0,0,0,0,0,1,1,1,1,1,1
Anc80BC_64,64,0,0,0,0,1,0,0,0,0,0,0
Anc80BC_65,65,0,0,0,0,1,0,0,0,0,0,1
Anc80BC_66,66,0,0,0,0,1,0,0,0,0,1,0
Anc80BC_67,67,0,0,0,0,1,0,0,0,0,1,1
Anc80BC_68,68,0,0,0,0,1,0,0,0,1,0,0
Anc80BC_69,69,0,0,0,0,1,0,0,0,1,0,1
Anc80BC_70,70,0,0,0,0,1,0,0,0,1,1,0
Anc80BC_71,71,0,0,0,0,1,0,0,0,1,1,1
Anc80BC_72,72,0,0,0,0,1,0,0,1,0,0,0
Anc80BC_73,73,0,0,0,0,1,0,0,1,0,0,1
Anc80BC_74,74,0,0,0,0,1,0,0,1,0,1,0
Anc80BC_75,75,0,0,0,0,1,0,0,1,0,1,1
Anc80BC_76,76,0,0,0,0,1,0,0,1,1,0,0
Anc80BC_77,77,0,0,0,0,1,0,0,1,1,0,1
Anc80BC_78,78,0,0,0,0,1,0,0,1,1,1,0
Anc80BC_79,79,0,0,0,0,1,0,0,1,1,1,1
Anc80BC_80,80,0,0,0,0,1,0,1,0,0,0,0
Anc80BC_81,81,0,0,0,0,1,0,1,0,0,0,1
Anc80BC_82,82,0,0,0,0,1,0,1,0,0,1,0
Anc80BC_83,83,0,0,0,0,1,0,1,0,0,1,1
Anc80BC_84,84,0,0,0,0,1,0,1,0,1,0,0
Anc80BC_85,85,0,0,0,0,1,0,1,0,1,0,1
Anc80BC_86,86,0,0,0,0,1,0,1,0,1,1,0
Anc80BC_87,87,0,0,0,0,1,0,1,0,1,1,1
Anc80BC_88,88,0,0,0,0,1,0,1,1,0,0,0
Anc80BC_89,89,0,0,0,0,1,0,1,1,0,0,1
Anc80BC_90,90,0,0,0,0,1,0,1,1,0,1,0
Anc80BC_91,91,0,0,0,0,1,0,1,1,0,1,1
Anc80BC_92,92,0,0,0,0,1,0,1,1,1,0,0
Anc80BC_93,93,0,0,0,0,1,0,1,1,1,0,1
Anc80BC_94,94,0,0,0,0,1,0,1,1,1,1,0
Anc80BC_95,95,0,0,0,0,1,0,1,1,1,1,1
Anc80BC_96,96,0,0,0,0,1,1,0,0,0,0,0
Anc80BC_97,97,0,0,0,0,1,1,0,0,0,0,1
Anc80BC_98,98,0,0,0,0,1,1,0,0,0,1,0
Anc80BC_99,99,0,0,0,0,1,1,0,0,0,1,1
Anc80BC_100,100,0,0,0,0,1,1,0,0,1,0,0
Anc80BC_101,101,0,0,0,0,1,1,0,0,1,0,1
Anc80BC_102,102,0,0,0,0,1,1,0,0,1,1,0
Anc80BC_103,103,0,0,0,0,1,1,0,0,1,1,1
Anc80BC_104,104,0,0,0,0,1,1,0,1,0,0,0
Anc80BC_105,105,0,0,0,0,1,1,0,1,0,0,1
Anc80BC_106,106,0,0,0,0,1,1,0,1,0,1,0
Anc80BC_107,107,0,0,0,0,1,1,0,1,0,1,1
Anc80BC_108,108,0,0,0,0,1,1,0,1,1,0,0
Anc80BC_109,109,0,0,0,0,1,1,0,1,1,0,1
Anc80BC_110,110,0,0,0,0,1,1,0,1,1,1,0
Anc80BC_111,111,0,0,0,0,1,1,0,1,1,1,1
Anc80BC_112,112,0,0,0,0,1,1,1,0,0,0,0
Anc80BC_113,113,0,0,0,0,1,1,1,0,0,0,1
Anc80BC_114,114,0,0,0,0,1,1,1,0,0,1,0
Anc80BC_115,115,0,0,0,0,1,1,1,0,0,1,1
Anc80BC_116,116,0,0,0,0,1,1,1,0,1,0,0
Anc80BC_117,117,0,0,0,0,1,1,1,0,1,0,1
Anc80BC_118,118,0,0,0,0,1,1,1,0,1,1,0
Anc80BC_119,119,0,0,0,0,1,1,1,0,1,1,1
Anc80BC_120,120,0,0,0,0,1,1,1,1,0,0,0
Anc80BC_121,121,0,0,0,0,1,1,1,1,0,0,1
Anc80BC_122,122,0,0,0,0,1,1,1,1,0,1,0
Anc80BC_123,123,0,0,0,0,1,1,1,1,0,1,1
Anc80BC_124,124,0,0,0,0,1,1,1,1,1,0,0
Anc80BC_125,125,0,0,0,0,1,1,1,1,1,0,1
Anc80BC_126,126,0,0,0,0,1,1,1,1,1,1,0
Anc80BC_127,127,0,0,0,0,1,1,1,1,1,1,1
Anc80BC_128,128,0,0,0,1,0,0,0,0,0,0,0
Anc80BC_129,129,0,0,0,1,0,0,0,0,0,0,1
Anc80BC_130,130,0,0,0,1,0,0,0,0,0,1,0
Anc80BC_131,131,0,0,0,1,0,0,0,0,0,1,1
Anc80BC_132,132,0,0,0,1,0,0,0,0,1,0,0
Anc80BC_133,133,0,0,0,1,0,0,0,0,1,0,1
Anc80BC_134,134,0,0,0,1,0,0,0,0,1,1,0
Anc80BC_135,135,0,0,0,1,0,0,0,0,1,1,1
Anc80BC_136,136,0,0,0,1,0,0,0,1,0,0,0
Anc80BC_137,137,0,0,0,1,0,0,0,1,0,0,1
Anc80BC_138,138,0,0,0,1,0,0,0,1,0,1,0
Anc80BC_139,139,0,0,0,1,0,0,0,1,0,1,1
Anc80BC_140,140,0,0,0,1,0,0,0,1,1,0,0
Anc80BC_141,141,0,0,0,1,0,0,0,1,1,0,1
Anc80BC_142,142,0,0,0,1,0,0,0,1,1,1,0
Anc80BC_143,143,0,0,0,1,0,0,0,1,1,1,1
Anc80BC_144,144,0,0,0,1,0,0,1,0,0,0,0
Anc80BC_145,145,0,0,0,1,0,0,1,0,0,0,1
Anc80BC_146,146,0,0,0,1,0,0,1,0,0,1,0
Anc80BC_147,147,0,0,0,1,0,0,1,0,0,1,1
Anc80BC_148,148,0,0,0,1,0,0,1,0,1,0,0
Anc80BC_149,149,0,0,0,1,0,0,1,0,1,0,1
Anc80BC_150,150,0,0,0,1,0,0,1,0,1,1,0
Anc80BC_151,151,0,0,0,1,0,0,1,0,1,1,1
Anc80BC_152,152,0,0,0,1,0,0,1,1,0,0,0
Anc80BC_153,153,0,0,0,1,0,0,1,1,0,0,1
Anc80BC_154,154,0,0,0,1,0,0,1,1,0,1,0
Anc80BC_155,155,0,0,0,1,0,0,1,1,0,1,1
Anc80BC_156,156,0,0,0,1,0,0,1,1,1,0,0
Anc80BC_157,157,0,0,0,1,0,0,1,1,1,0,1
Anc80BC_158,158,0,0,0,1,0,0,1,1,1,1,0
Anc80BC_159,159,0,0,0,1,0,0,1,1,1,1,1
Anc80BC_160,160,0,0,0,1,0,1,0,0,0,0,0
Anc80BC_161,161,0,0,0,1,0,1,0,0,0,0,1
Anc80BC_162,162,0,0,0,1,0,1,0,0,0,1,0
Anc80BC_163,163,0,0,0,1,0,1,0,0,0,1,1
Anc80BC_164,164,0,0,0,1,0,1,0,0,1,0,0
Anc80BC_165,165,0,0,0,1,0,1,0,0,1,0,1
Anc80BC_166,166,0,0,0,1,0,1,0,0,1,1,0
Anc80BC_167,167,0,0,0,1,0,1,0,0,1,1,1
Anc80BC_168,168,0,0,0,1,0,1,0,1,0,0,0
Anc80BC_169,169,0,0,0,1,0,1,0,1,0,0,1
Anc80BC_170,170,0,0,0,1,0,1,0,1,0,1,0
Anc80BC_171,171,0,0,0,1,0,1,0,1,0,1,1
Anc80BC_172,172,0,0,0,1,0,1,0,1,1,0,0
Anc80BC_173,173,0,0,0,1,0,1,0,1,1,0,1
Anc80BC_174,174,0,0,0,1,0,1,0,1,1,1,0
Anc80BC_175,175,0,0,0,1,0,1,0,1,1,1,1
Anc80BC_176,176,0,0,0,1,0,1,1,0,0,0,0
Anc80BC_177,177,0,0,0,1,0,1,1,0,0,0,1
Anc80BC_178,178,0,0,0,1,0,1,1,0,0,1,0
Anc80BC_179,179,0,0,0,1,0,1,1,0,0,1,1
Anc80BC_180,180,0,0,0,1,0,1,1,0,1,0,0
Anc80BC_181,181,0,0,0,1,0,1,1,0,1,0,1
Anc80BC_182,182,0,0,0,1,0,1,1,0,1,1,0
Anc80BC_183,183,0,0,0,1,0,1,1,0,1,1,1
Anc80BC_184,184,0,0,0,1,0,1,1,1,0,0,0
Anc80BC_185,185,0,0,0,1,0,1,1,1,0,0,1
Anc80BC_186,186,0,0,0,1,0,1,1,1,0,1,0
Anc80BC_187,187,0,0,0,1,0,1,1,1,0,1,1
Anc80BC_188,188,0,0,0,1,0,1,1,1,1,0,0
Anc80BC_189,189,0,0,0,1,0,1,1,1,1,0,1
Anc80BC_190,190,0,0,0,1,0,1,1,1,1,1,0
Anc80BC_191,191,0,0,0,1,0,1,1,1,1,1,1
Anc80BC_192,192,0,0,0,1,1,0,0,0,0,0,0
Anc80BC_193,193,0,0,0,1,1,0,0,0,0,0,1
Anc80BC_194,194,0,0,0,1,1,0,0,0,0,1,0
Anc80BC_195,195,0,0,0,1,1,0,0,0,0,1,1
Anc80BC_196,196,0,0,0,1,1,0,0,0,1,0,0
Anc80BC_197,197,0,0,0,1,1,0,0,0,1,0,1
Anc80BC_198,198,0,0,0,1,1,0,0,0,1,1,0
Anc80BC_199,199,0,0,0,1,1,0,0,0,1,1,1
Anc80BC_200,200,0,0,0,1,1,0,0,1,0,0,0
Anc80BC_201,201,0,0,0,1,1,0,0,1,0,0,1
Anc80BC_202,202,0,0,0,1,1,0,0,1,0,1,0
Anc80BC_203,203,0,0,0,1,1,0,0,1,0,1,1
Anc80BC_204,204,0,0,0,1,1,0,0,1,1,0,0
Anc80BC_205,205,0,0,0,1,1,0,0,1,1,0,1
Anc80BC_206,206,0,0,0,1,1,0,0,1,1,1,0
Anc80BC_207,207,0,0,0,1,1,0,0,1,1,1,1
Anc80BC_208,208,0,0,0,1,1,0,1,0,0,0,0
Anc80BC_209,209,0,0,0,1,1,0,1,0,0,0,1
Anc80BC_210,210,0,0,0,1,1,0,1,0,0,1,0
Anc80BC_211,211,0,0,0,1,1,0,1,0,0,1,1
Anc80BC_212,212,0,0,0,1,1,0,1,0,1,0,0
Anc80BC_213,213,0,0,0,1,1,0,1,0,1,0,1
Anc80BC_214,214,0,0,0,1,1,0,1,0,1,1,0
Anc80BC_215,215,0,0,0,1,1,0,1,0,1,1,1
Anc80BC_216,216,0,0,0,1,1,0,1,1,0,0,0
Anc80BC_217,217,0,0,0,1,1,0,1,1,0,0,1
Anc80BC_218,218,0,0,0,1,1,0,1,1,0,1,0
Anc80BC_219,219,0,0,0,1,1,0,1,1,0,1,1
Anc80BC_220,220,0,0,0,1,1,0,1,1,1,0,0
Anc80BC_221,221,0,0,0,1,1,0,1,1,1,0,1
Anc80BC_222,222,0,0,0,1,1,0,1,1,1,1,0
Anc80BC_223,223,0,0,0,1,1,0,1,1,1,1,1
Anc80BC_224,224,0,0,0,1,1,1,0,0,0,0,0
Anc80BC_225,225,0,0,0,1,1,1,0,0,0,0,1
Anc80BC_226,226,0,0,0,1,1,1,0,0,0,1,0
Anc80BC_227,227,0,0,0,1,1,1,0,0,0,1,1
Anc80BC_228,228,0,0,0,1,1,1,0,0,1,0,0
Anc80BC_229,229,0,0,0,1,1,1,0,0,1,0,1
Anc80BC_230,230,0,0,0,1,1,1,0,0,1,1,0
Anc80BC_231,231,0,0,0,1,1,1,0,0,1,1,1
Anc80BC_232,232,0,0,0,1,1,1,0,1,0,0,0
Anc80BC_233,233,0,0,0,1,1,1,0,1,0,0,1
Anc80BC_234,234,0,0,0,1,1,1,0,1,0,1,0
Anc80BC_235,235,0,0,0,1,1,1,0,1,0,1,1
Anc80BC_236,236,0,0,0,1,1,1,0,1,1,0,0
Anc80BC_237,237,0,0,0,1,1,1,0,1,1,0,1
Anc80BC_238,238,0,0,0,1,1,1,0,1,1,1,0
Anc80BC_239,239,0,0,0,1,1,1,0,1,1,1,1
Anc80BC_240,240,0,0,0,1,1,1,1,0,0,0,0
Anc80BC_241,241,0,0,0,1,1,1,1,0,0,0,1
Anc80BC_242,242,0,0,0,1,1,1,1,0,0,1,0
Anc80BC_243,243,0,0,0,1,1,1,1,0,0,1,1
Anc80BC_244,244,0,0,0,1,1,1,1,0,1,0,0
Anc80BC_245,245,0,0,0,1,1,1,1,0,1,0,1
Anc80BC_246,246,0,0,0,1,1,1,1,0,1,1,0
Anc80BC_247,247,0,0,0,1,1,1,1,0,1,1,1
Anc80BC_248,248,0,0,0,1,1,1,1,1,0,0,0
Anc80BC_249,249,0,0,0,1,1,1,1,1,0,0,1
Anc80BC_250,250,0,0,0,1,1,1,1,1,0,1,0
Anc80BC_251,251,0,0,0,1,1,1,1,1,0,1,1
Anc80BC_252,252,0,0,0,1,1,1,1,1,1,0,0
Anc80BC_253,253,0,0,0,1,1,1,1,1,1,0,1
Anc80BC_254,254,0,0,0,1,1,1,1,1,1,1,0
Anc80BC_255,255,0,0,0,1,1,1,1,1,1,1,1
Anc80BC_256,256,0,0,1,0,0,0,0,0,0,0,0
Anc80BC_257,257,0,0,1,0,0,0,0,0,0,0,1
Anc80BC_258,258,0,0,1,0,0,0,0,0,0,1,0
Anc80BC_259,259,0,0,1,0,0,0,0,0,0,1,1
Anc80BC_260,260,0,0,1,0,0,0,0,0,1,0,0
Anc80BC_261,261,0,0,1,0,0,0,0,0,1,0,1
Anc80BC_262,262,0,0,1,0,0,0,0,0,1,1,0
Anc80BC_263,263,0,0,1,0,0,0,0,0,1,1,1
Anc80BC_264,264,0,0,1,0,0,0,0,1,0,0,0
Anc80BC_265,265,0,0,1,0,0,0,0,1,0,0,1
Anc80BC_266,266,0,0,1,0,0,0,0,1,0,1,0
Anc80BC_267,267,0,0,1,0,0,0,0,1,0,1,1
Anc80BC_268,268,0,0,1,0,0,0,0,1,1,0,0
Anc80BC_269,269,0,0,1,0,0,0,0,1,1,0,1
Anc80BC_270,270,0,0,1,0,0,0,0,1,1,1,0
Anc80BC_271,271,0,0,1,0,0,0,0,1,1,1,1
Anc80BC_272,272,0,0,1,0,0,0,1,0,0,0,0
Anc80BC_273,273,0,0,1,0,0,0,1,0,0,0,1
Anc80BC_274,274,0,0,1,0,0,0,1,0,0,1,0
Anc80BC_275,275,0,0,1,0,0,0,1,0,0,1,1
Anc80BC_276,276,0,0,1,0,0,0,1,0,1,0,0
Anc80BC_277,277,0,0,1,0,0,0,1,0,1,0,1
Anc80BC_278,278,0,0,1,0,0,0,1,0,1,1,0
Anc80BC_279,279,0,0,1,0,0,0,1,0,1,1,1
Anc80BC_280,280,0,0,1,0,0,0,1,1,0,0,0
Anc80BC_281,281,0,0,1,0,0,0,1,1,0,0,1
Anc80BC_282,282,0,0,1,0,0,0,1,1,0,1,0
Anc80BC_283,283,0,0,1,0,0,0,1,1,0,1,1
Anc80BC_284,284,0,0,1,0,0,0,1,1,1,0,0
Anc80BC_285,285,0,0,1,0,0,0,1,1,1,0,1
Anc80BC_286,286,0,0,1,0,0,0,1,1,1,1,0
Anc80BC_287,287,0,0,1,0,0,0,1,1,1,1,1
Anc80BC_288,288,0,0,1,0,0,1,0,0,0,0,0
Anc80BC_289,289,0,0,1,0,0,1,0,0,0,0,1
Anc80BC_290,290,0,0,1,0,0,1,0,0,0,1,0
Anc80BC_291,291,0,0,1,0,0,1,0,0,0,1,1
Anc80BC_292,292,0,0,1,0,0,1,0,0,1,0,0
Anc80BC_293,293,0,0,1,0,0,1,0,0,1,0,1
Anc80BC_294,294,0,0,1,0,0,1,0,0,1,1,0
Anc80BC_295,295,0,0,1,0,0,1,0,0,1,1,1
Anc80BC_296,296,0,0,1,0,0,1,0,1,0,0,0
Anc80BC_297,297,0,0,1,0,0,1,0,1,0,0,1
Anc80BC_298,298,0,0,1,0,0,1,0,1,0,1,0
Anc80BC_299,299,0,0,1,0,0,1,0,1,0,1,1
Anc80BC_300,300,0,0,1,0,0,1,0,1,1,0,0
Anc80BC_301,301,0,0,1,0,0,1,0,1,1,0,1
Anc80BC_302,302,0,0,1,0,0,1,0,1,1,1,0
Anc80BC_303,303,0,0,1,0,0,1,0,1,1,1,1
Anc80BC_304,304,0,0,1,0,0,1,1,0,0,0,0
Anc80BC_305,305,0,0,1,0,0,1,1,0,0,0,1
Anc80BC_306,306,0,0,1,0,0,1,1,0,0,1,0
Anc80BC_307,307,0,0,1,0,0,1,1,0,0,1,1
Anc80BC_308,308,0,0,1,0,0,1,1,0,1,0,0
Anc80BC_309,309,0,0,1,0,0,1,1,0,1,0,1
Anc80BC_310,310,0,0,1,0,0,1,1,0,1,1,0
Anc80BC_311,311,0,0,1,0,0,1,1,0,1,1,1
Anc80BC_312,312,0,0,1,0,0,1,1,1,0,0,0
Anc80BC_313,313,0,0,1,0,0,1,1,1,0,0,1
Anc80BC_314,314,0,0,1,0,0,1,1,1,0,1,0
Anc80BC_315,315,0,0,1,0,0,1,1,1,0,1,1
Anc80BC_316,316,0,0,1,0,0,1,1,1,1,0,0
Anc80BC_317,317,0,0,1,0,0,1,1,1,1,0,1
Anc80BC_318,318,0,0,1,0,0,1,1,1,1,1,0
Anc80BC_319,319,0,0,1,0,0,1,1,1,1,1,1
Anc80BC_320,320,0,0,1,0,1,0,0,0,0,0,0
Anc80BC_321,321,0,0,1,0,1,0,0,0,0,0,1
Anc80BC_322,322,0,0,1,0,1,0,0,0,0,1,0
Anc80BC_323,323,0,0,1,0,1,0,0,0,0,1,1
Anc80BC_324,324,0,0,1,0,1,0,0,0,1,0,0
Anc80BC_325,325,0,0,1,0,1,0,0,0,1,0,1
Anc80BC_326,326,0,0,1,0,1,0,0,0,1,1,0
Anc80BC_327,327,0,0,1,0,1,0,0,0,1,1,1
Anc80BC_328,328,0,0,1,0,1,0,0,1,0,0,0
Anc80BC_329,329,0,0,1,0,1,0,0,1,0,0,1
Anc80BC_330,330,0,0,1,0,1,0,0,1,0,1,0
Anc80BC_331,331,0,0,1,0,1,0,0,1,0,1,1
Anc80BC_332,332,0,0,1,0,1,0,0,1,1,0,0
Anc80BC_333,333,0,0,1,0,1,0,0,1,1,0,1
Anc80BC_334,334,0,0,1,0,1,0,0,1,1,1,0
Anc80BC_335,335,0,0,1,0,1,0,0,1,1,1,1
Anc80BC_336,336,0,0,1,0,1,0,1,0,0,0,0
Anc80BC_337,337,0,0,1,0,1,0,1,0,0,0,1
Anc80BC_338,338,0,0,1,0,1,0,1,0,0,1,0
Anc80BC_339,339,0,0,1,0,1,0,1,0,0,1,1
Anc80BC_340,340,0,0,1,0,1,0,1,0,1,0,0
Anc80BC_341,341,0,0,1,0,1,0,1,0,1,0,1
Anc80BC_342,342,0,0,1,0,1,0,1,0,1,1,0
Anc80BC_343,343,0,0,1,0,1,0,1,0,1,1,1
Anc80BC_344,344,0,0,1,0,1,0,1,1,0,0,0
Anc80BC_345,345,0,0,1,0,1,0,1,1,0,0,1
Anc80BC_346,346,0,0,1,0,1,0,1,1,0,1,0
Anc80BC_347,347,0,0,1,0,1,0,1,1,0,1,1
Anc80BC_348,348,0,0,1,0,1,0,1,1,1,0,0
Anc80BC_349,349,0,0,1,0,1,0,1,1,1,0,1
Anc80BC_350,350,0,0,1,0,1,0,1,1,1,1,0
Anc80BC_351,351,0,0,1,0,1,0,1,1,1,1,1
Anc80BC_352,352,0,0,1,0,1,1,0,0,0,0,0
Anc80BC_353,353,0,0,1,0,1,1,0,0,0,0,1
Anc80BC_354,354,0,0,1,0,1,1,0,0,0,1,0
Anc80BC_355,355,0,0,1,0,1,1,0,0,0,1,1
Anc80BC_356,356,0,0,1,0,1,1,0,0,1,0,0
Anc80BC_357,357,0,0,1,0,1,1,0,0,1,0,1
Anc80BC_358,358,0,0,1,0,1,1,0,0,1,1,0
Anc80BC_359,359,0,0,1,0,1,1,0,0,1,1,1
Anc80BC_360,360,0,0,1,0,1,1,0,1,0,0,0
Anc80BC_361,361,0,0,1,0,1,1,0,1,0,0,1
Anc80BC_362,362,0,0,1,0,1,1,0,1,0,1,0
Anc80BC_363,363,0,0,1,0,1,1,0,1,0,1,1
Anc80BC_364,364,0,0,1,0,1,1,0,1,1,0,0
Anc80BC_365,365,0,0,1,0,1,1,0,1,1,0,1
Anc80BC_366,366,0,0,1,0,1,1,0,1,1,1,0
Anc80BC_367,367,0,0,1,0,1,1,0,1,1,1,1
Anc80BC_368,368,0,0,1,0,1,1,1,0,0,0,0
Anc80BC_369,369,0,0,1,0,1,1,1,0,0,0,1
Anc80BC_370,370,0,0,1,0,1,1,1,0,0,1,0
Anc80BC_371,371,0,0,1,0,1,1,1,0,0,1,1
Anc80BC_372,372,0,0,1,0,1,1,1,0,1,0,0
Anc80BC_373,373,0,0,1,0,1,1,1,0,1,0,1
Anc80BC_374,374,0,0,1,0,1,1,1,0,1,1,0
Anc80BC_375,375,0,0,1,0,1,1,1,0,1,1,1
Anc80BC_376,376,0,0,1,0,1,1,1,1,0,0,0
Anc80BC_377,377,0,0,1,0,1,1,1,1,0,0,1
Anc80BC_378,378,0,0,1,0,1,1,1,1,0,1,0
Anc80BC_379,379,0,0,1,0,1,1,1,1,0,1,1
Anc80BC_380,380,0,0,1,0,1,1,1,1,1,0,0
Anc80BC_381,381,0,0,1,0,1,1,1,1,1,0,1
Anc80BC_382,382,0,0,1,0,1,1,1,1,1,1,0
Anc80BC_383,383,0,0,1,0,1,1,1,1,1,1,1
Anc80BC_384,384,0,0,1,1,0,0,0,0,0,0,0
Anc80BC_385,385,0,0,1,1,0,0,0,0,0,0,1
Anc80BC_386,386,0,0,1,1,0,0,0,0,0,1,0
Anc80BC_387,387,0,0,1,1,0,0,0,0,0,1,1
Anc80BC_388,388,0,0,1,1,0,0,0,0,1,0,0
Anc80BC_389,389,0,0,1,1,0,0,0,0,1,0,1
Anc80BC_390,390,0,0,1,1,0,0,0,0,1,1,0
Anc80BC_391,391,0,0,1,1,0,0,0,0,1,1,1
Anc80BC_392,392,0,0,1,1,0,0,0,1,0,0,0
Anc80BC_393,393,0,0,1,1,0,0,0,1,0,0,1
Anc80BC_394,394,0,0,1,1,0,0,0,1,0,1,0
Anc80BC_395,395,0,0,1,1,0,0,0,1,0,1,1
Anc80BC_396,396,0,0,1,1,0,0,0,1,1,0,0
Anc80BC_397,397,0,0,1,1,0,0,0,1,1,0,1
Anc80BC_398,398,0,0,1,1,0,0,0,1,1,1,0
Anc80BC_399,399,0,0,1,1,0,0,0,1,1,1,1
Anc80BC_400,400,0,0,1,1,0,0,1,0,0,0,0
Anc80BC_401,401,0,0,1,1,0,0,1,0,0,0,1
Anc80BC_402,402,0,0,1,1,0,0,1,0,0,1,0
Anc80BC_403,403,0,0,1,1,0,0,1,0,0,1,1
Anc80BC_404,404,0,0,1,1,0,0,1,0,1,0,0
Anc80BC_405,405,0,0,1,1,0,0,1,0,1,0,1
Anc80BC_406,406,0,0,1,1,0,0,1,0,1,1,0
Anc80BC_407,407,0,0,1,1,0,0,1,0,1,1,1
Anc80BC_408,408,0,0,1,1,0,0,1,1,0,0,0
Anc80BC_409,409,0,0,1,1,0,0,1,1,0,0,1
Anc80BC_410,410,0,0,1,1,0,0,1,1,0,1,0
Anc80BC_411,411,0,0,1,1,0,0,1,1,0,1,1
Anc80BC_412,412,0,0,1,1,0,0,1,1,1,0,0
Anc80BC_413,413,0,0,1,1,0,0,1,1,1,0,1
Anc80BC_414,414,0,0,1,1,0,0,1,1,1,1,0
Anc80BC_415,415,0,0,1,1,0,0,1,1,1,1,1
Anc80BC_416,416,0,0,1,1,0,1,0,0,0,0,0
Anc80BC_417,417,0,0,1,1,0,1,0,0,0,0,1
Anc80BC_418,418,0,0,1,1,0,1,0,0,0,1,0
Anc80BC_419,419,0,0,1,1,0,1,0,0,0,1,1
Anc80BC_420,420,0,0,1,1,0,1,0,0,1,0,0
