barcode_index_matrix,index,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
Anc81BC_34,34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Anc81BC_35,35,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Anc81BC_36,36,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Anc81BC_37,37,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Anc81BC_38,38,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Anc81BC_39,39,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
Anc81BC_40,40,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Anc81BC_41,41,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Anc81BC_42,42,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Anc81BC_43,43,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
Anc81BC_44,44,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Anc81BC_45,45,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Anc81BC_46,46,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Anc81BC_47,47,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
Anc81BC_48,48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Anc81BC_49,49,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Anc81BC_50,50,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Anc81BC_51,51,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Anc81BC_52,52,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
Anc81BC_53,53,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
Anc81BC_54,54,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
Anc81BC_55,55,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
Anc81BC_56,56,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Anc81BC_57,57,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
Anc81BC_58,58,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
Anc81BC_59,59,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
Anc81BC_60,60,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Anc81BC_61,61,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
Anc81BC_62,62,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Anc81BC_63,63,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Anc81BC_64,64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Anc81BC_65,65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Anc81BC_66,66,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Anc81BC_67,67,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Anc81BC_68,68,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Anc81BC_69,69,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Anc81BC_70,70,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Anc81BC_71,71,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
Anc81BC_72,72,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Anc81BC_73,73,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Anc81BC_74,74,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Anc81BC_75,75,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Anc81BC_76,76,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Anc81BC_77,77,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
Anc81BC_78,78,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Anc81BC_79,79,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
Anc81BC_80,80,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Anc81BC_81,81,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
Anc81BC_82,82,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Anc81BC_83,83,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
Anc81BC_84,84,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Anc81BC_85,85,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
Anc81BC_86,86,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
Anc81BC_87,87,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
Anc81BC_88,88,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Anc81BC_89,89,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Anc81BC_90,90,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
Anc81BC_91,91,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
Anc81BC_92,92,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
Anc81BC_93,93,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
Anc81BC_94,94,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
Anc81BC_95,95,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
Anc81BC_96,96,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Anc81BC_97,97,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Anc81BC_98,98,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
Anc81BC_99,99,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Anc81BC_100,100,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Anc81BC_101,101,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
Anc81BC_102,102,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
Anc81BC_103,103,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
Anc81BC_104,104,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Anc81BC_105,105,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
Anc81BC_106,106,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
Anc81BC_107,107,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
Anc81BC_108,108,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Anc81BC_109,109,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
Anc81BC_110,110,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
Anc81BC_111,111,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
Anc81BC_112,112,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Anc81BC_113,113,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
Anc81BC_114,114,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
Anc81BC_115,115,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
Anc81BC_116,116,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Anc81BC_117,117,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
Anc81BC_118,118,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
Anc81BC_119,119,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
Anc81BC_120,120,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Anc81BC_121,121,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
Anc81BC_122,122,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
Anc81BC_123,123,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
Anc81BC_124,124,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
Anc81BC_125,125,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
Anc81BC_126,126,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Anc81BC_127,127,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Anc81BC_128,128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anc81BC_129,129,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Anc81BC_130,130,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Anc81BC_131,131,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Anc81BC_132,132,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Anc81BC_133,133,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Anc81BC_134,134,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
Anc81BC_135,135,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
Anc81BC_136,136,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Anc81BC_137,137,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Anc81BC_138,138,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Anc81BC_139,139,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
Anc81BC_140,140,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Anc81BC_141,141,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Anc81BC_142,142,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
Anc81BC_143,143,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
Anc81BC_144,144,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Anc81BC_145,145,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Anc81BC_146,146,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Anc81BC_147,147,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Anc81BC_148,148,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
Anc81BC_149,149,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
Anc81BC_150,150,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
Anc81BC_151,151,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
Anc81BC_152,152,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
Anc81BC_153,153,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Anc81BC_154,154,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
Anc81BC_155,155,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
Anc81BC_156,156,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
Anc81BC_157,157,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
Anc81BC_158,158,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
Anc81BC_159,159,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
Anc81BC_160,160,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Anc81BC_161,161,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Anc81BC_162,162,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Anc81BC_163,163,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
Anc81BC_164,164,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
Anc81BC_165,165,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
Anc81BC_166,166,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
Anc81BC_167,167,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
Anc81BC_168,168,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
Anc81BC_169,169,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Anc81BC_170,170,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
Anc81BC_171,171,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1
Anc81BC_172,172,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
Anc81BC_173,173,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
Anc81BC_174,174,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0
Anc81BC_175,175,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1
Anc81BC_176,176,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Anc81BC_177,177,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
Anc81BC_178,178,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Anc81BC_179,179,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1
Anc81BC_180,180,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
Anc81BC_181,181,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
Anc81BC_182,182,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
Anc81BC_183,183,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1
Anc81BC_184,184,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
Anc81BC_185,185,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
Anc81BC_186,186,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0
Anc81BC_187,187,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1
Anc81BC_188,188,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
Anc81BC_189,189,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
Anc81BC_190,190,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
Anc81BC_191,191,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
Anc81BC_192,192,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Anc81BC_193,193,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Anc81BC_194,194,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Anc81BC_195,195,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Anc81BC_196,196,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Anc81BC_197,197,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
Anc81BC_198,198,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0
Anc81BC_199,199,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1
Anc81BC_200,200,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Anc81BC_201,201,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Anc81BC_202,202,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
Anc81BC_203,203,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Anc81BC_204,204,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Anc81BC_205,205,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1
Anc81BC_206,206,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0
Anc81BC_207,207,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
Anc81BC_208,208,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Anc81BC_209,209,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Anc81BC_210,210,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
Anc81BC_211,211,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
Anc81BC_212,212,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0
Anc81BC_213,213,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1
Anc81BC_214,214,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0
Anc81BC_215,215,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1
Anc81BC_216,216,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
Anc81BC_217,217,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
Anc81BC_218,218,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
Anc81BC_219,219,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1
Anc81BC_220,220,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0
Anc81BC_221,221,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1
Anc81BC_222,222,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0
Anc81BC_223,223,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1
Anc81BC_224,224,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Anc81BC_225,225,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
Anc81BC_226,226,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0
Anc81BC_227,227,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
Anc81BC_228,228,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
Anc81BC_229,229,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
Anc81BC_230,230,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0
Anc81BC_231,231,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
Anc81BC_232,232,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
Anc81BC_233,233,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
Anc81BC_234,234,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
Anc81BC_235,235,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1
Anc81BC_236,236,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0
Anc81BC_237,237,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1
Anc81BC_238,238,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
Anc81BC_239,239,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
Anc81BC_240,240,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
Anc81BC_241,241,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
Anc81BC_242,242,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0
Anc81BC_243,243,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
Anc81BC_244,244,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
Anc81BC_245,245,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1
Anc81BC_246,246,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0
Anc81BC_247,247,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1
Anc81BC_248,248,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
Anc81BC_249,249,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
Anc81BC_250,250,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
Anc81BC_251,251,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1
Anc81BC_252,252,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
Anc81BC_253,253,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
Anc81BC_254,254,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
Anc81BC_255,255,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Anc81BC_256,256,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Anc81BC_257,257,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Anc81BC_258,258,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Anc81BC_259,259,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Anc81BC_260,260,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Anc81BC_261,261,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Anc81BC_262,262,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
Anc81BC_263,263,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
Anc81BC_264,264,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Anc81BC_265,265,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Anc81BC_266,266,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Anc81BC_267,267,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
Anc81BC_268,268,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Anc81BC_269,269,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1
Anc81BC_270,270,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
Anc81BC_271,271,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
Anc81BC_272,272,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Anc81BC_273,273,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Anc81BC_274,274,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Anc81BC_275,275,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
Anc81BC_276,276,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Anc81BC_277,277,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
Anc81BC_278,278,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
Anc81BC_279,279,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
Anc81BC_280,280,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
Anc81BC_281,281,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
Anc81BC_282,282,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
Anc81BC_283,283,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
Anc81BC_284,284,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
Anc81BC_285,285,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1
Anc81BC_286,286,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
Anc81BC_287,287,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
Anc81BC_288,288,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Anc81BC_289,289,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Anc81BC_290,290,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Anc81BC_291,291,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
Anc81BC_292,292,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Anc81BC_293,293,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
Anc81BC_294,294,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0
Anc81BC_295,295,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1
Anc81BC_296,296,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Anc81BC_297,297,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
Anc81BC_298,298,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
Anc81BC_299,299,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1
Anc81BC_300,300,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
Anc81BC_301,301,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
Anc81BC_302,302,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
Anc81BC_303,303,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
Anc81BC_304,304,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Anc81BC_305,305,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
Anc81BC_306,306,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
Anc81BC_307,307,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
Anc81BC_308,308,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
Anc81BC_309,309,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1
Anc81BC_310,310,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0
Anc81BC_311,311,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1
Anc81BC_312,312,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
Anc81BC_313,313,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1
Anc81BC_314,314,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0
Anc81BC_315,315,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1
Anc81BC_316,316,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
Anc81BC_317,317,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
Anc81BC_318,318,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
Anc81BC_319,319,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1
Anc81BC_320,320,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Anc81BC_321,321,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Anc81BC_322,322,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
Anc81BC_323,323,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
Anc81BC_324,324,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Anc81BC_325,325,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
Anc81BC_326,326,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
Anc81BC_327,327,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1
Anc81BC_328,328,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Anc81BC_329,329,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
Anc81BC_330,330,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
Anc81BC_331,331,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1
Anc81BC_332,332,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
Anc81BC_333,333,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1
Anc81BC_334,334,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
Anc81BC_335,335,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1
Anc81BC_336,336,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
Anc81BC_337,337,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
