barcode_index_matrix,index,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Anc127BC_207,207,0,0,1,1,0,0,1,1,1,1
Anc127BC_208,208,0,0,1,1,0,1,0,0,0,0
Anc127BC_209,209,0,0,1,1,0,1,0,0,0,1
Anc127BC_210,210,0,0,1,1,0,1,0,0,1,0
Anc127BC_211,211,0,0,1,1,0,1,0,0,1,1
Anc127BC_212,212,0,0,1,1,0,1,0,1,0,0
Anc127BC_213,213,0,0,1,1,0,1,0,1,0,1
Anc127BC_214,214,0,0,1,1,0,1,0,1,1,0
Anc127BC_215,215,0,0,1,1,0,1,0,1,1,1
Anc127BC_216,216,0,0,1,1,0,1,1,0,0,0
Anc127BC_217,217,0,0,1,1,0,1,1,0,0,1
Anc127BC_218,218,0,0,1,1,0,1,1,0,1,0
Anc127BC_219,219,0,0,1,1,0,1,1,0,1,1
Anc127BC_220,220,0,0,1,1,0,1,1,1,0,0
Anc127BC_221,221,0,0,1,1,0,1,1,1,0,1
Anc127BC_222,222,0,0,1,1,0,1,1,1,1,0
Anc127BC_223,223,0,0,1,1,0,1,1,1,1,1
Anc127BC_224,224,0,0,1,1,1,0,0,0,0,0
Anc127BC_225,225,0,0,1,1,1,0,0,0,0,1
Anc127BC_226,226,0,0,1,1,1,0,0,0,1,0
Anc127BC_227,227,0,0,1,1,1,0,0,0,1,1
Anc127BC_228,228,0,0,1,1,1,0,0,1,0,0
Anc127BC_229,229,0,0,1,1,1,0,0,1,0,1
Anc127BC_230,230,0,0,1,1,1,0,0,1,1,0
Anc127BC_231,231,0,0,1,1,1,0,0,1,1,1
Anc127BC_232,232,0,0,1,1,1,0,1,0,0,0
Anc127BC_233,233,0,0,1,1,1,0,1,0,0,1
Anc127BC_234,234,0,0,1,1,1,0,1,0,1,0
Anc127BC_235,235,0,0,1,1,1,0,1,0,1,1
Anc127BC_236,236,0,0,1,1,1,0,1,1,0,0
Anc127BC_237,237,0,0,1,1,1,0,1,1,0,1
Anc127BC_238,238,0,0,1,1,1,0,1,1,1,0
Anc127BC_239,239,0,0,1,1,1,0,1,1,1,1
Anc127BC_240,240,0,0,1,1,1,1,0,0,0,0
Anc127BC_241,241,0,0,1,1,1,1,0,0,0,1
Anc127BC_242,242,0,0,1,1,1,1,0,0,1,0
Anc127BC_243,243,0,0,1,1,1,1,0,0,1,1
Anc127BC_244,244,0,0,1,1,1,1,0,1,0,0
Anc127BC_245,245,0,0,1,1,1,1,0,1,0,1
Anc127BC_246,246,0,0,1,1,1,1,0,1,1,0
Anc127BC_247,247,0,0,1,1,1,1,0,1,1,1
Anc127BC_248,248,0,0,1,1,1,1,1,0,0,0
Anc127BC_249,249,0,0,1,1,1,1,1,0,0,1
Anc127BC_250,250,0,0,1,1,1,1,1,0,1,0
Anc127BC_251,251,0,0,1,1,1,1,1,0,1,1
Anc127BC_252,252,0,0,1,1,1,1,1,1,0,0
Anc127BC_253,253,0,0,1,1,1,1,1,1,0,1
Anc127BC_254,254,0,0,1,1,1,1,1,1,1,0
Anc127BC_255,255,0,0,1,1,1,1,1,1,1,1
Anc127BC_256,256,0,1,0,0,0,0,0,0,0,0
Anc127BC_257,257,0,1,0,0,0,0,0,0,0,1
Anc127BC_258,258,0,1,0,0,0,0,0,0,1,0
Anc127BC_259,259,0,1,0,0,0,0,0,0,1,1
Anc127BC_260,260,0,1,0,0,0,0,0,1,0,0
Anc127BC_261,261,0,1,0,0,0,0,0,1,0,1
Anc127BC_262,262,0,1,0,0,0,0,0,1,1,0
Anc127BC_263,263,0,1,0,0,0,0,0,1,1,1
Anc127BC_264,264,0,1,0,0,0,0,1,0,0,0
Anc127BC_265,265,0,1,0,0,0,0,1,0,0,1
Anc127BC_266,266,0,1,0,0,0,0,1,0,1,0
Anc127BC_267,267,0,1,0,0,0,0,1,0,1,1
Anc127BC_268,268,0,1,0,0,0,0,1,1,0,0
Anc127BC_269,269,0,1,0,0,0,0,1,1,0,1
Anc127BC_270,270,0,1,0,0,0,0,1,1,1,0
Anc127BC_271,271,0,1,0,0,0,0,1,1,1,1
Anc127BC_272,272,0,1,0,0,0,1,0,0,0,0
Anc127BC_273,273,0,1,0,0,0,1,0,0,0,1
Anc127BC_274,274,0,1,0,0,0,1,0,0,1,0
Anc127BC_275,275,0,1,0,0,0,1,0,0,1,1
Anc127BC_276,276,0,1,0,0,0,1,0,1,0,0
Anc127BC_277,277,0,1,0,0,0,1,0,1,0,1
Anc127BC_278,278,0,1,0,0,0,1,0,1,1,0
Anc127BC_279,279,0,1,0,0,0,1,0,1,1,1
Anc127BC_280,280,0,1,0,0,0,1,1,0,0,0
Anc127BC_281,281,0,1,0,0,0,1,1,0,0,1
Anc127BC_282,282,0,1,0,0,0,1,1,0,1,0
Anc127BC_283,283,0,1,0,0,0,1,1,0,1,1
Anc127BC_284,284,0,1,0,0,0,1,1,1,0,0
Anc127BC_285,285,0,1,0,0,0,1,1,1,0,1
Anc127BC_286,286,0,1,0,0,0,1,1,1,1,0
Anc127BC_287,287,0,1,0,0,0,1,1,1,1,1
Anc127BC_288,288,0,1,0,0,1,0,0,0,0,0
Anc127BC_289,289,0,1,0,0,1,0,0,0,0,1
Anc127BC_290,290,0,1,0,0,1,0,0,0,1,0
Anc127BC_291,291,0,1,0,0,1,0,0,0,1,1
Anc127BC_292,292,0,1,0,0,1,0,0,1,0,0
Anc127BC_293,293,0,1,0,0,1,0,0,1,0,1
Anc127BC_294,294,0,1,0,0,1,0,0,1,1,0
Anc127BC_295,295,0,1,0,0,1,0,0,1,1,1
Anc127BC_296,296,0,1,0,0,1,0,1,0,0,0
Anc127BC_297,297,0,1,0,0,1,0,1,0,0,1
Anc127BC_298,298,0,1,0,0,1,0,1,0,1,0
Anc127BC_299,299,0,1,0,0,1,0,1,0,1,1
Anc127BC_300,300,0,1,0,0,1,0,1,1,0,0
Anc127BC_301,301,0,1,0,0,1,0,1,1,0,1
Anc127BC_302,302,0,1,0,0,1,0,1,1,1,0
Anc127BC_303,303,0,1,0,0,1,0,1,1,1,1
Anc127BC_304,304,0,1,0,0,1,1,0,0,0,0
Anc127BC_305,305,0,1,0,0,1,1,0,0,0,1
Anc127BC_306,306,0,1,0,0,1,1,0,0,1,0
Anc127BC_307,307,0,1,0,0,1,1,0,0,1,1
Anc127BC_308,308,0,1,0,0,1,1,0,1,0,0
Anc127BC_309,309,0,1,0,0,1,1,0,1,0,1
Anc127BC_310,310,0,1,0,0,1,1,0,1,1,0
Anc127BC_311,311,0,1,0,0,1,1,0,1,1,1
Anc127BC_312,312,0,1,0,0,1,1,1,0,0,0
Anc127BC_313,313,0,1,0,0,1,1,1,0,0,1
Anc127BC_314,314,0,1,0,0,1,1,1,0,1,0
Anc127BC_315,315,0,1,0,0,1,1,1,0,1,1
Anc127BC_316,316,0,1,0,0,1,1,1,1,0,0
Anc127BC_317,317,0,1,0,0,1,1,1,1,0,1
Anc127BC_318,318,0,1,0,0,1,1,1,1,1,0
Anc127BC_319,319,0,1,0,0,1,1,1,1,1,1
Anc127BC_320,320,0,1,0,1,0,0,0,0,0,0
Anc127BC_321,321,0,1,0,1,0,0,0,0,0,1
Anc127BC_322,322,0,1,0,1,0,0,0,0,1,0
Anc127BC_323,323,0,1,0,1,0,0,0,0,1,1
Anc127BC_324,324,0,1,0,1,0,0,0,1,0,0
Anc127BC_325,325,0,1,0,1,0,0,0,1,0,1
Anc127BC_326,326,0,1,0,1,0,0,0,1,1,0
Anc127BC_327,327,0,1,0,1,0,0,0,1,1,1
Anc127BC_328,328,0,1,0,1,0,0,1,0,0,0
Anc127BC_329,329,0,1,0,1,0,0,1,0,0,1
Anc127BC_330,330,0,1,0,1,0,0,1,0,1,0
Anc127BC_331,331,0,1,0,1,0,0,1,0,1,1
Anc127BC_332,332,0,1,0,1,0,0,1,1,0,0
Anc127BC_333,333,0,1,0,1,0,0,1,1,0,1
Anc127BC_334,334,0,1,0,1,0,0,1,1,1,0
Anc127BC_335,335,0,1,0,1,0,0,1,1,1,1
Anc127BC_336,336,0,1,0,1,0,1,0,0,0,0
Anc127BC_337,337,0,1,0,1,0,1,0,0,0,1
Anc127BC_338,338,0,1,0,1,0,1,0,0,1,0
Anc127BC_339,339,0,1,0,1,0,1,0,0,1,1
Anc127BC_340,340,0,1,0,1,0,1,0,1,0,0
Anc127BC_341,341,0,1,0,1,0,1,0,1,0,1
Anc127BC_342,342,0,1,0,1,0,1,0,1,1,0
Anc127BC_343,343,0,1,0,1,0,1,0,1,1,1
Anc127BC_344,344,0,1,0,1,0,1,1,0,0,0
Anc127BC_345,345,0,1,0,1,0,1,1,0,0,1
Anc127BC_346,346,0,1,0,1,0,1,1,0,1,0
Anc127BC_347,347,0,1,0,1,0,1,1,0,1,1
Anc127BC_348,348,0,1,0,1,0,1,1,1,0,0
Anc127BC_349,349,0,1,0,1,0,1,1,1,0,1
Anc127BC_350,350,0,1,0,1,0,1,1,1,1,0
Anc127BC_351,351,0,1,0,1,0,1,1,1,1,1
Anc127BC_352,352,0,1,0,1,1,0,0,0,0,0
Anc127BC_353,353,0,1,0,1,1,0,0,0,0,1
Anc127BC_354,354,0,1,0,1,1,0,0,0,1,0
Anc127BC_355,355,0,1,0,1,1,0,0,0,1,1
Anc127BC_356,356,0,1,0,1,1,0,0,1,0,0
Anc127BC_357,357,0,1,0,1,1,0,0,1,0,1
Anc127BC_358,358,0,1,0,1,1,0,0,1,1,0
Anc127BC_359,359,0,1,0,1,1,0,0,1,1,1
Anc127BC_360,360,0,1,0,1,1,0,1,0,0,0
Anc127BC_361,361,0,1,0,1,1,0,1,0,0,1
Anc127BC_362,362,0,1,0,1,1,0,1,0,1,0
Anc127BC_363,363,0,1,0,1,1,0,1,0,1,1
Anc127BC_364,364,0,1,0,1,1,0,1,1,0,0
Anc127BC_365,365,0,1,0,1,1,0,1,1,0,1
Anc127BC_366,366,0,1,0,1,1,0,1,1,1,0
Anc127BC_367,367,0,1,0,1,1,0,1,1,1,1
Anc127BC_368,368,0,1,0,1,1,1,0,0,0,0
Anc127BC_369,369,0,1,0,1,1,1,0,0,0,1
Anc127BC_370,370,0,1,0,1,1,1,0,0,1,0
Anc127BC_371,371,0,1,0,1,1,1,0,0,1,1
Anc127BC_372,372,0,1,0,1,1,1,0,1,0,0
Anc127BC_373,373,0,1,0,1,1,1,0,1,0,1
Anc127BC_374,374,0,1,0,1,1,1,0,1,1,0
Anc127BC_375,375,0,1,0,1,1,1,0,1,1,1
Anc127BC_376,376,0,1,0,1,1,1,1,0,0,0
Anc127BC_377,377,0,1,0,1,1,1,1,0,0,1
Anc127BC_378,378,0,1,0,1,1,1,1,0,1,0
Anc127BC_379,379,0,1,0,1,1,1,1,0,1,1
Anc127BC_380,380,0,1,0,1,1,1,1,1,0,0
Anc127BC_381,381,0,1,0,1,1,1,1,1,0,1
Anc127BC_382,382,0,1,0,1,1,1,1,1,1,0
Anc127BC_383,383,0,1,0,1,1,1,1,1,1,1
Anc127BC_384,384,0,1,1,0,0,0,0,0,0,0
Anc127BC_385,385,0,1,1,0,0,0,0,0,0,1
Anc127BC_386,386,0,1,1,0,0,0,0,0,1,0
Anc127BC_387,387,0,1,1,0,0,0,0,0,1,1
Anc127BC_388,388,0,1,1,0,0,0,0,1,0,0
Anc127BC_389,389,0,1,1,0,0,0,0,1,0,1
Anc127BC_390,390,0,1,1,0,0,0,0,1,1,0
Anc127BC_391,391,0,1,1,0,0,0,0,1,1,1
Anc127BC_392,392,0,1,1,0,0,0,1,0,0,0
Anc127BC_393,393,0,1,1,0,0,0,1,0,0,1
Anc127BC_394,394,0,1,1,0,0,0,1,0,1,0
Anc127BC_395,395,0,1,1,0,0,0,1,0,1,1
Anc127BC_396,396,0,1,1,0,0,0,1,1,0,0
Anc127BC_397,397,0,1,1,0,0,0,1,1,0,1
Anc127BC_398,398,0,1,1,0,0,0,1,1,1,0
Anc127BC_399,399,0,1,1,0,0,0,1,1,1,1
Anc127BC_400,400,0,1,1,0,0,1,0,0,0,0
Anc127BC_401,401,0,1,1,0,0,1,0,0,0,1
Anc127BC_402,402,0,1,1,0,0,1,0,0,1,0
Anc127BC_403,403,0,1,1,0,0,1,0,0,1,1
Anc127BC_404,404,0,1,1,0,0,1,0,1,0,0
Anc127BC_405,405,0,1,1,0,0,1,0,1,0,1
Anc127BC_406,406,0,1,1,0,0,1,0,1,1,0
Anc127BC_407,407,0,1,1,0,0,1,0,1,1,1
Anc127BC_408,408,0,1,1,0,0,1,1,0,0,0
Anc127BC_409,409,0,1,1,0,0,1,1,0,0,1
Anc127BC_410,410,0,1,1,0,0,1,1,0,1,0
Anc127BC_411,411,0,1,1,0,0,1,1,0,1,1
Anc127BC_412,412,0,1,1,0,0,1,1,1,0,0
Anc127BC_413,413,0,1,1,0,0,1,1,1,0,1
Anc127BC_414,414,0,1,1,0,0,1,1,1,1,0
Anc127BC_415,415,0,1,1,0,0,1,1,1,1,1
Anc127BC_416,416,0,1,1,0,1,0,0,0,0,0
Anc127BC_417,417,0,1,1,0,1,0,0,0,0,1
Anc127BC_418,418,0,1,1,0,1,0,0,0,1,0
Anc127BC_419,419,0,1,1,0,1,0,0,0,1,1
Anc127BC_420,420,0,1,1,0,1,0,0,1,0,0
Anc127BC_421,421,0,1,1,0,1,0,0,1,0,1
Anc127BC_422,422,0,1,1,0,1,0,0,1,1,0
Anc127BC_423,423,0,1,1,0,1,0,0,1,1,1
Anc127BC_424,424,0,1,1,0,1,0,1,0,0,0
Anc127BC_425,425,0,1,1,0,1,0,1,0,0,1
Anc127BC_426,426,0,1,1,0,1,0,1,0,1,0
Anc127BC_427,427,0,1,1,0,1,0,1,0,1,1
Anc127BC_428,428,0,1,1,0,1,0,1,1,0,0
Anc127BC_429,429,0,1,1,0,1,0,1,1,0,1
Anc127BC_430,430,0,1,1,0,1,0,1,1,1,0
Anc127BC_431,431,0,1,1,0,1,0,1,1,1,1
Anc127BC_432,432,0,1,1,0,1,1,0,0,0,0
Anc127BC_433,433,0,1,1,0,1,1,0,0,0,1
Anc127BC_434,434,0,1,1,0,1,1,0,0,1,0
Anc127BC_435,435,0,1,1,0,1,1,0,0,1,1
Anc127BC_436,436,0,1,1,0,1,1,0,1,0,0
Anc127BC_437,437,0,1,1,0,1,1,0,1,0,1
Anc127BC_438,438,0,1,1,0,1,1,0,1,1,0
Anc127BC_439,439,0,1,1,0,1,1,0,1,1,1
Anc127BC_440,440,0,1,1,0,1,1,1,0,0,0
Anc127BC_441,441,0,1,1,0,1,1,1,0,0,1
Anc127BC_442,442,0,1,1,0,1,1,1,0,1,0
Anc127BC_443,443,0,1,1,0,1,1,1,0,1,1
Anc127BC_444,444,0,1,1,0,1,1,1,1,0,0
Anc127BC_445,445,0,1,1,0,1,1,1,1,0,1
Anc127BC_446,446,0,1,1,0,1,1,1,1,1,0
Anc127BC_447,447,0,1,1,0,1,1,1,1,1,1
